Compound,LogKp,MW,LogP,HBD,HBA,LogS,TPSA,MV
Bis(2-ethylhexyl)phthalate,-8.8,390.564,8.025,0,2,-8.344,"	52.6",407.9
Dibutyl Phthalate,-9.195,278.348,4.628,0,2,-4.51,52.6,273.91
Diethyl Phthalate,-8.499,222.24,2.694,0,2,-2.717,52.6,206.71
Dimethyl Phthalate,-8.035,194.186,1.98,0,2,-2.028,52.6,173.1
