Compound,LogKp,MW,LogP,HBD,HBA,LogS,TPSA,MV
Fluocinonide,-6.326,494.532,2.046,1,6,-4.745,99.13,431.71
Hydrocortisone 21-(6-hydroxyhexanoate),-6.597,476.61,2.314,3,6,-3.268,121.13,455.04
Hydrocortisone 21-Hexanoate,-5.301,460.611,3.751,2,5,-5.014,100.9,446.78
Hydrocortisone 21-methylsuccinate,-7.234,475.559,2.084,2,7,-3.228,141.03,437.46
Hydrocortisone 21-octanoate,-4.764,488.665,4.64,2,5,-5.937,100.9,480.38
Hydrocortisone 21-propionate,-6.038,418.53,2.417,2,5,-3.607,100.9,396.38
Hydrocortisone 21-succinamate,-8.141,460.548,-0.813,3,7,-3.058,147.81,424.19
Sucrose,-8.583,342.297,-4.529,8,11,0.402,189.53,283.58
