Compound,LogKp,MW,LogP,HBD,HBA,LogS,TPSA,MV
"2,3-Butanediol",-7.857,90.122,-0.376,2,2,0.363,40.46,95.45
Butan-2-one,-5.903,72.107,0.807,0,1,-0.028,17.07,81.54
Diethyl ether,-5.352,74.123,0.838,0,1,0.054,"	9.23",88.34
