Compound,LogKp,MW,LogP,HBD,HBA,LogS,TPSA,MV
Corticosterone,-8.206,346.467,2.023,2,4,-3.681,74.6,335.37
Prednisolone,-7.906,360.45,1.273,3,5,-3.46,"	94.83",336.88
Triamcinolone,-8.956,394.439,0.242,4,6,-3.135,115.06,349.53
Triamcinolone acetonide,-8.251,434.504,1.944,2,6,-4.519,93.06,390.25
