Compound,LogKp,MW,LogP,HBD,HBA,LogS,TPSA,MV
Aspartic acid,-7.585,133.103,-3.504,3,5,0.364,100.62,111.56
Histidine,-7.812,155.157,-3.616,3,4,-0.444,92,136.79
Lysine,-7.328,146.19,-3.215,3,4,0.116,89.34,146.25
