Compound,LogKp,MW,LogP,HBD,HBA,LogS,TPSA,MV
4-Hydroxybenzyl alcohol,-6.255,124.139,0.902,2,2,-0.482,40.46,116.88
4-Hydroxyphenylacetamide,-6.903,151.165,0.5,2,2,-0.742,63.32,139.13
4-Hydroxyphenylacetic acid,-6.158,152.149,1.307,2,3,-0.645,57.53,135.86
Methyl 4-hydroxyphenylacetate,-5.255,166.176,1.453,1,2,-0.859,46.53,153.39
Toluene,-3.637,92.141,2.487,0,0,-1.813,0,100.6
