Compound,LogKp,MW,LogP,HBD,HBA,LogS,TPSA,MV
Bromochloroacetonitrile,-4.352,154.39,0.768,0,1,-1.062,23.79,77.74
Chloral hydrate,-5.965,165.39,0.692,2,2,-1.586,40.46,102.61
Chloroacetonitrile,-4.561,75.5,0.372,0,1,-0.386,23.79,59.83
Dibromoacetonitrile,-4.326,198.845,0.681,0,1,-1.237,23.79,82.09
Dichloroacetonitrile,-4.38,109.94,1.116,0,1,-0.856,23.79,73.39
Trichloroacetonitrile,-4.604,144.38,1.587,0,1,-2.09,"	23.79",86.61
